,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
103531,proton,All_or_Total,17,All_or_Total,Other,Lab,59700000.0,300000.0,0.082,0.013,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103532,proton,All_or_Total,17,All_or_Total,Other,Lab,55100000.0,400000.0,0.084,0.013,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103533,proton,All_or_Total,17,All_or_Total,Other,Lab,54300000.0,400000.0,0.164,0.026,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103534,proton,All_or_Total,17,All_or_Total,Other,Lab,50200000.0,500000.0,0.101,0.016,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103535,proton,All_or_Total,17,All_or_Total,Other,Lab,48800000.0,500000.0,0.206,0.033,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103536,proton,All_or_Total,17,All_or_Total,Other,Lab,45300000.0,200000.0,0.172,0.028,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103537,proton,All_or_Total,17,All_or_Total,Other,Lab,44900000.0,200000.0,0.134,0.021,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103538,proton,All_or_Total,17,All_or_Total,Other,Lab,43800000.0,200000.0,0.251,0.04,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103539,proton,All_or_Total,17,All_or_Total,Other,Lab,39500000.0,300000.0,0.291,0.047,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103540,proton,All_or_Total,17,All_or_Total,Other,Lab,38800000.0,300000.0,0.484,0.077,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103541,proton,All_or_Total,17,All_or_Total,Other,Lab,31500000.0,400000.0,0.885,0.142,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103542,proton,All_or_Total,17,All_or_Total,Other,Lab,26100000.0,500000.0,0.674,0.108,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103543,proton,All_or_Total,17,All_or_Total,Other,Lab,23300000.0,500000.0,0.292,0.047,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103544,proton,All_or_Total,17,All_or_Total,Other,Lab,21500000.0,500000.0,0.038,0.006,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,4,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215004,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103545,proton,All_or_Total,17,All_or_Total,Other,Lab,120000000.0,2356989.481718686,0.02,0.007,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,11,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Physical Review Vol.178, p.1732, 1969",A0916011,A0916,"(J,PR,178,1732,1969)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103546,proton,All_or_Total,17,All_or_Total,Other,Lab,300000000.0,5892473.704296715,0.0024,0.00084,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,11,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Physical Review Vol.178, p.1732, 1969",A0916011,A0916,"(J,PR,178,1732,1969)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103547,proton,All_or_Total,17,All_or_Total,Other,Lab,660000000.0,12963442.149452772,0.0018,0.00063,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (62) ",A0916,11,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG","Investigation of nuclear reactions of the (p,xn) and (p,2pxn) type on separated tellurium isotopes.",1962,N.G.Zaitseva+,4ZZZDUB,2012/01/03,"Jour. Physical Review Vol.178, p.1732, 1969",A0916011,A0916,"(J,PR,178,1732,1969)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103548,proton,All_or_Total,17,All_or_Total,Other,Lab,400000000.0,7856631.605728953,0.00209,0.00025,0.0,0.0,Other,"L.B.CHURCH,ET.AL. (69)   ",B0024,24,No Pointer,52,"52-TE-125(P,3N)53-I-123,,SIG,,,EXP","Study of (P,XN) Reactions at 400 MeV",1969,L.B.Church+,1USACAR,2001/12/04,"Jour. Applied Radiation and Isotopes Vol.55, p.149, 2001",B0024024,B0024,"(J,ARI,55,149,2001)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103549,proton,All_or_Total,37,All_or_Total,Other,Lab,100500000.0,200000.0,0.037,0.006,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
103550,proton,All_or_Total,37,All_or_Total,Other,Lab,80900000.0,400000.0,0.041,0.007,0.0,0.0,Other,"A.HOHN,ET.AL. (01)       ",A0215,5,No Pointer,52,"52-TE-125(P,4N)53-I-122,,SIG,,,EXP","Excitation Functions of 125-Te(P,XN)-Reactions from Their Respective Thresholds Up to 100MeV with Special Reference to the Production of 124I",2001,A.Hohn+,2GERJUL,2001/06/04,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",A0215005,A0215,"(J,ZET,43,1672,1962)",1,1,0,125Te,Te,73,125,I,6.25,0.128,Other,-89022.974,1.5019999999999998,8458.045,0.012,-185.77,0.06,124904429.9,1.612,15993.45,0.1,15784.73,2.66,-2250.63,1.69,-1829.59,2.19,-8077.75,1.51,-9728.56,1.86,6568.97,0.03,8691.7,0.14,-9354.01,11.09,10911.9,0.12,4176.45,2.13,6564.76,2.66,-8691.7,-6568.97,-15159.1939,-12934.6279,-15637.4149,-14012.8594,-15784.73,-15993.45,-2250.63,-968.1165,-8691.7,-6568.97,-4344.404,-10510.9065,-7511.6551,-7441.153500000002,-7295.4035,-8691.7,-6467.134000000001,-6568.97,-6677.398900000003,-8066.6896,-311.741,-3198.225600000001,-204.362,14008.649399999998,11122.1649
