,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
126503,proton,All_or_Total,9000,All_or_Total,Other,Lab,14300000.0,500000.0,0.026,0.003,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126504,proton,All_or_Total,9000,All_or_Total,Other,Lab,15000000.0,450000.0,0.018,0.001,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126505,proton,All_or_Total,9000,All_or_Total,Other,Lab,15700000.0,450000.0,0.023,0.002,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126506,proton,All_or_Total,9000,All_or_Total,Other,Lab,16400000.0,450000.0,0.012,0.001,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126507,proton,All_or_Total,9000,All_or_Total,Other,Lab,17000000.0,450000.0,0.013,0.001,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126508,proton,All_or_Total,9000,All_or_Total,Other,Lab,17600000.0,450000.0,0.012,0.001,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126509,proton,All_or_Total,9000,All_or_Total,Other,Lab,18100000.0,450000.0,0.012,0.001,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126510,proton,All_or_Total,9000,All_or_Total,Other,Lab,18700000.0,450000.0,0.03,0.003,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126511,proton,All_or_Total,9000,All_or_Total,Other,Lab,19300000.0,450000.0,0.045,0.005,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126512,proton,All_or_Total,9000,All_or_Total,Other,Lab,19800000.0,450000.0,0.064,0.006,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126513,proton,All_or_Total,9000,All_or_Total,Other,Lab,20400000.0,450000.0,0.113,0.011,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126514,proton,All_or_Total,9000,All_or_Total,Other,Lab,21000000.0,450000.0,0.184,0.018,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126515,proton,All_or_Total,9000,All_or_Total,Other,Lab,21500000.0,450000.0,0.287,0.029,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126516,proton,All_or_Total,9000,All_or_Total,Other,Lab,22000000.0,450000.0,0.321,0.032,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126517,proton,All_or_Total,9000,All_or_Total,Other,Lab,22500000.0,450000.0,0.359,0.036,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126518,proton,All_or_Total,9000,All_or_Total,Other,Lab,23000000.0,400000.0,0.42,0.042,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126519,proton,All_or_Total,9000,All_or_Total,Other,Lab,23500000.0,400000.0,0.509,0.051,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126520,proton,All_or_Total,9000,All_or_Total,Other,Lab,24000000.0,400000.0,0.575,0.058,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
126521,proton,All_or_Total,9000,All_or_Total,Other,Lab,24500000.0,400000.0,0.653,0.065,0.0,0.0,Other,"F.S.Al-Saleh,ET.AL. (07) ",O1509,4,No Pointer,81,"81-TL-0(P,X)82-PB-203,,SIG",Yield and excitation functions measurements of some nuclear reactions on natural thallium induced by protons leading to the production of medical radioisotopes Tl-201 and Pb-203,2007,F.S.Al-Saleh+,3SARSAR,2016/08/05,"Jour. Applied Radiation and Isotopes Vol.30, p.85, 1979",O1509004,O1509,"(J,ARI,30,85,1979)",1,1,0,204Tl,Tl,123,204,N,7.35845664610417,0.1087184498699939,Other,-25053.761,1.1589999999999998,7883.038,0.006,-105.53599999999994,3.319,204383000.0,1.244,14615.865,7.855,14254.855,13.315,688.24,13.99,-3968.4,11.04,-8594.525000000001,13.29,-7761.49,5.19,7254.28,0.92,6035.435,1.165,-13034.765,16.47,13160.98,1.0750000000000002,8393.2,1.115,7413.045,15.025,-6035.435,-7254.28,-12910.1139,-10685.5479,-11420.6649,-13164.5744,-14254.855,-14615.865,688.24,-887.8824999999999,-6035.435,-7254.28,-5029.714,-8543.8365,-6134.070099999999,-5192.073500000002,-7812.178500000002,-6035.435,-3810.8690000000015,-7254.28,-4428.318900000002,-6536.8146000000015,-997.0509999999996,-541.9606000000003,-124.12799999999982,13323.3394,13778.4299
