,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
116326,proton,All_or_Total,9000,All_or_Total,Other,Lab,1598000000.0,4000000.0,0.00347,0.0005,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,317,No Pointer,73,"73-TA-0(P,X)74-W-177,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904317,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116327,proton,All_or_Total,9000,All_or_Total,Other,Lab,2605000000.0,8000000.0,0.00292,0.00043,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,317,No Pointer,73,"73-TA-0(P,X)74-W-177,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904317,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116328,proton,All_or_Total,9000,All_or_Total,Other,Lab,43000000.0,1000000.0,0.114,0.012,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,320,No Pointer,73,"73-TA-0(P,X)73-TA-180,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904320,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116329,proton,All_or_Total,9000,All_or_Total,Other,Lab,66000000.0,1000000.0,0.08,0.013,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,320,No Pointer,73,"73-TA-0(P,X)73-TA-180,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904320,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116330,proton,All_or_Total,9000,All_or_Total,Other,Lab,97000000.0,1000000.0,0.0781,0.0091,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,320,No Pointer,73,"73-TA-0(P,X)73-TA-180,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904320,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116331,proton,All_or_Total,9000,All_or_Total,Other,Lab,148000000.0,1000000.0,0.0549,0.0065,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,320,No Pointer,73,"73-TA-0(P,X)73-TA-180,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904320,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116332,proton,All_or_Total,9000,All_or_Total,Other,Lab,248000000.0,1000000.0,0.076,0.012,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,320,No Pointer,73,"73-TA-0(P,X)73-TA-180,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904320,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116333,proton,All_or_Total,9000,All_or_Total,Other,Lab,399000000.0,2000000.0,0.0406,0.0055,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,320,No Pointer,73,"73-TA-0(P,X)73-TA-180,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904320,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116334,proton,All_or_Total,9000,All_or_Total,Other,Lab,43000000.0,1000000.0,0.0365,0.003,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116335,proton,All_or_Total,9000,All_or_Total,Other,Lab,66000000.0,1000000.0,0.0594,0.0053,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116336,proton,All_or_Total,9000,All_or_Total,Other,Lab,97000000.0,1000000.0,0.0501,0.0046,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116337,proton,All_or_Total,9000,All_or_Total,Other,Lab,148000000.0,1000000.0,0.0329,0.0029,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116338,proton,All_or_Total,9000,All_or_Total,Other,Lab,248000000.0,1000000.0,0.0214,0.0021,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116339,proton,All_or_Total,9000,All_or_Total,Other,Lab,399000000.0,2000000.0,0.0221,0.0022,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116340,proton,All_or_Total,9000,All_or_Total,Other,Lab,599000000.0,2000000.0,0.0199,0.0027,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116341,proton,All_or_Total,9000,All_or_Total,Other,Lab,799000000.0,2000000.0,0.0154,0.0015,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116342,proton,All_or_Total,9000,All_or_Total,Other,Lab,1199000000.0,3000000.0,0.0141,0.0013,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116343,proton,All_or_Total,9000,All_or_Total,Other,Lab,1598000000.0,4000000.0,0.0132,0.0023,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
116344,proton,All_or_Total,9000,All_or_Total,Other,Lab,2605000000.0,8000000.0,0.0115,0.0014,0.0,0.0,Other,"Yu.E.Titarenko, (11)     ",A0904,321,No Pointer,73,"73-TA-0(P,X)73-TA-178,IND,SIG",Measurement and simulation of the cross sections for nuclide production in W-nat and Ta-181 targets irradiated with 0.04- to 2.6-GeV protons.,2011,Yu.E.Titarenko+,4RUSITE,2011/12/05,"Jour. Yadernaya Fizika Vol.74, p.574, 2011",A0904321,A0904,"(J,YF,74,574,2011)",1,1,0,181Ta,Ta,108,181,N,7.070816032278637,0.113141113606684,Other,-48685.594,1.671,8024.640499999999,0.0095,249.3725000000001,2.0675,180948000.0,1.7935,14350.31,26.93,13565.18,4.1,1772.51,1.965,-2508.2200000000003,17.045,-8106.93,38.095000000000006,-7291.29,8.265,7111.81,1.815,5853.435,2.05,-9965.315,13.61,13474.28,2.045,8836.385,2.045,8321.605,2.38,-5853.435,-7111.81,-12596.8139,-10372.247899999998,-10977.479899999998,-12256.0144,-13565.18,-14350.31,1772.51,-532.9739999999999,-5853.435,-7111.81,-4887.244000000001,-8073.6365,-5868.5151,-4878.773500000002,-7324.583500000001,-5853.435,-3628.8690000000006,-7111.81,-4115.018900000002,-5847.1396,-854.5809999999996,-359.9605999999999,230.78050000000007,13465.8094,13960.4299
